A Bad Haircut	The perfect start to a bad hair day. [Core Expansion 1, Party Box]
A Bakery	Some bakers start work at 3:00 in the morning, so breads and donuts are fresh for breakfast. [Junior Set (1st) & (2nd)]
A Broken Leg	I was riding my bike when I hit this big rock . . . [Junior Set (1st) & (2nd)]
A Bull Fight	Also known as "la fiesta brava" (the brave festival). A whole lot of bull.. [Core Expansion 2, Party Box]
A Cabin In The Woods	Henry David Thoreau went to Walden Pond for two years. All we're asking for is one lousy weekend! [Core Expansion 3, Party Box Expansion 1]
A Can Of Worms	Now you've opened it. [Core Expansion 3, Party Box Expansion 1]
A Car Crash	"Hey, it was an accident!" [Core Set, Party Box]
A Cheap Motel	No charge for the cockroaches. [Core Set, Party Box]
A Cookbook	The best ones include favorite family recipes. [Junior Set (2nd)]
A Crawl Space	Where you'll find something the cat dragged in. [Core Set, Party Box]
A Crown	A crown is a symbol of royalty. [Junior Set (2nd)]
A Desert	Hot, dry and sandy. [Junior Set (1st) & (2nd)]
A Dollar	Spend it wisely! [Junior Set (2nd)]
A Dozen Red Roses	When eleven just won't do. [Core Expansion 1, Party Box]
A Fairy	A tiny creature who has magical powers and can fly, like Tinkerbell. [Kids Set]
A Few Good Men	Is that too much to ask? [Core Expansion 3, Party Box Expansion 1]
A Flat Tire	"Whaddya mean, there's no spare?" [Core Set, Party Box]
A Fool & His Money	Are soon parted... especially on Wall Street. [Core Expansion 4, Party Box Expansion 1]
A Forest	Home to Bambi, Winnie the Pooh, Robin Hood, and many woodland animals. [Kids Set]
A French Maid	Ooh, la, la! [Core Expansion 3, Party Box Expansion 1]
A Full Moon	"When the moon hits your eye like a big pizza pie, that's amore!" -Dean Martin [Core Expansion 1, Party Box]
A Funeral	A ceremony held to honor a person who has died. [Junior Set (1st) & (2nd)]
A Giant	A very large and powerful person. When Jack climbed the bean stalk, he met a hungry giant. [Kids Set]
A Haunted House	Maybe if people would STOP building their dream homes on ancient burial grounds ... [Core Expansion 1, Party Box]
A High School Bathroom	"Fools rush in where angels fear to tread" -Alexander Pope [Core Set, Party Box]
A Hole In One	Par for the course? [Core Expansion 3, Party Box Expansion 1]
A Honeymoon	America's top honeymoon spots are Hawaii, Niagara Falls, Las Vegas and Florida. You can get there by air, land, sea ... or shotgun. [Core Set, Party Box]
A King	King Arthur became famous when he pulled a magical sword from a stone. [Kids Set]
A Leaky Boat	Time to bail out. [Junior Set (2nd)]
A Little White Lie	If you can't say anything nice . . . [Core Expansion 3, Party Box Expansion 1]
A Locker Room	Steamy atmosphere ... bawdy humor ... sweaty bodies ... HEY! Sounds like Cable TV! [Core Set, Party Box]
A Log Cabin	Just cut down a few trees and make a house. [Junior Set (2nd)]
A Mermaid	An imaginary creature with the upper body of a woman and the tail of a fish. [Junior Set (2nd)]
A Microwave Oven	You'll have popcorn in two minutes. [Junior Set (2nd)]
A Million Dollars	If I had a million dollars. . . [Core Expansion 3, Party Box Expansion 1]
A Morgue	"Given strange eons, even death may die..." -H.P. Lovecraft [Core Set, Party Box]
A Movie Theater	When you want a REALLY big screen. [Junior Set (2nd)]
A Mummy	"Walk like an Egyptian." - The Bangles [Core Expansion 3, Party Box Expansion 1]
A Mummy	In Egypt there are mummies that are over 3,000 years old. [Junior Set (2nd)]
A Nine Iron	A golf club best used on short shots or large opponents. [Core Expansion 2, Party Box]
A Parade	I love a parade. [Junior Set (2nd)]
A Piano	A piano is a percussion instrument, like a drum or cymbal. [Junior Set (2nd)]
A Pile Of Leaves	Rake them up and jump in! [Kids Set]
A Prince	Some are real, but most are just in fairy tales. [Junior Set (2nd)]
A Princess	Some are real, but most are just in fairy tales. [Junior Set (2nd)]
A Queen	A wicked queen tried to kill Snow White with a poison apple. [Kids Set]
A Refrigerator	First stop after school. [Junior Set (2nd)]
A Ringing In My Ears	Answer that, would'ya? [Core Expansion 3, Party Box Expansion 1]
A Saw	A metal tool with sharp teeth used to cut metal and wood. Some are used as musical instruments. [Kids Set]
A School Bus	The only thing we have to fear is fear itself. -Franklin D. Roosevelt [Core Expansion 1, Party Box]
A School Cafeteria	Food fight!. [Core Expansion 2, Party Box]
A School Dance	No chicken dance or hokey-pokey! [Junior Set (1st) & (2nd)]
A Spare Tire	The good news is: we have a spare tire . . . [Core Expansion 3, Party Box Expansion 1]
A Submarine	It's a sandwich shaped like a boat.or a boat shaped like a sandwich. [Junior Set (2nd)]
A Sunrise	"But he who kisses the joy as it flies/ Lives in eternity's sunrise." -William Blake [Core Set, Party Box]
A Sunset	The sun never set on the British Empire ... because God didn't trust the English in the dark. [Core Set, Party Box]
A Surprise	Something that is unexpected, like a present from a friend. [Kids Set]
A Swimming Pool	No diving in the shallow end. [Junior Set (1st) & (2nd)]
A Tree House	Your first high-rise apartment. [Core Expansion 1, Party Box]
A Used Car Lot	One of the most honest places around. Honest ... [Core Set, Party Box]
A Volcano	Hot lava! [Junior Set (1st) & (2nd)]
